Код покупателя	Артикул	Количество	Дата
Клиент-124	Арт1	7	16.03.2018
Клиент-90	Арт14	3	19.07.2017
Клиент-65	Арт8	4	18.06.2018
Клиент-178	Арт5	5	12.10.2017
Клиент-81	Арт13	6	22.08.2018
Клиент-18	Арт25	10	14.06.2018
Клиент-137	Арт7	1	18.04.2017
Клиент-125	Арт26	8	01.04.2018
Клиент-168	Арт15	1	14.02.2018
Клиент-58	Арт26	6	22.04.2018
Клиент-2	Арт17	6	14.08.2017
Клиент-100	Арт24	8	03.06.2018
Клиент-77	Арт14	8	13.08.2017
Клиент-43	Арт10	10	16.09.2018
Клиент-190	Арт17	9	02.05.2018
Клиент-90	Арт9	10	27.09.2017
Клиент-43	Арт2	3	11.09.2017
Клиент-76	Арт3	9	27.06.2017
Клиент-104	Арт15	8	13.06.2017
Клиент-95	Арт25	7	14.09.2017
Клиент-195	Арт7	8	15.01.2018
Клиент-25	Арт7	8	13.09.2017
Клиент-69	Арт20	3	17.03.2017
Клиент-57	Арт15	1	01.05.2017
Клиент-195	Арт17	10	25.06.2017
Клиент-75	Арт26	8	31.08.2017
Клиент-127	Арт26	8	02.09.2017
Клиент-88	Арт21	1	17.06.2018
Клиент-49	Арт26	10	21.01.2017
Клиент-134	Арт24	10	01.12.2017
Клиент-75	Арт7	10	03.01.2018
Клиент-137	Арт10	1	13.11.2017
Клиент-199	Арт18	7	18.12.2017
Клиент-149	Арт7	6	15.12.2017
Клиент-37	Арт25	7	14.01.2018
Клиент-130	Арт2	10	15.01.2018
Клиент-54	Арт9	6	05.11.2017
Клиент-59	Арт24	1	13.06.2018
Клиент-73	Арт23	8	03.07.2018
Клиент-76	Арт2	1	26.03.2018
Клиент-121	Арт2	1	25.12.2017
Клиент-9	Арт18	6	17.07.2017
Клиент-200	Арт6	2	11.07.2018
Клиент-112	Арт12	7	28.08.2018
Клиент-144	Арт9	6	07.11.2017
Клиент-28	Арт9	7	13.04.2017
Клиент-12	Арт16	5	16.11.2017
Клиент-33	Арт19	2	14.03.2017
Клиент-56	Арт14	5	22.09.2017
Клиент-6	Арт8	5	05.06.2017
Клиент-144	Арт11	5	01.07.2017
Клиент-142	Арт18	4	02.06.2017
Клиент-195	Арт15	1	25.03.2018
Клиент-34	Арт5	5	06.03.2017
Клиент-86	Арт17	6	19.03.2017
Клиент-77	Арт16	3	07.06.2017
Клиент-57	Арт2	3	26.06.2018
Клиент-167	Арт26	5	08.11.2017
Клиент-112	Арт19	6	16.06.2018
Клиент-103	Арт15	6	19.01.2018
Клиент-48	Арт25	4	20.07.2017
Клиент-197	Арт14	2	18.01.2017
Клиент-17	Арт5	2	29.10.2017
Клиент-36	Арт5	7	25.02.2017
Клиент-89	Арт20	5	19.07.2018
Клиент-130	Арт13	6	03.08.2017
Клиент-90	Арт22	8	20.04.2018
Клиент-78	Арт2	10	04.04.2018
Клиент-51	Арт12	4	05.11.2017
Клиент-49	Арт2	1	24.03.2018
Клиент-22	Арт17	9	28.07.2018
Клиент-113	Арт18	6	14.09.2018
Клиент-10	Арт23	9	06.08.2017
Клиент-129	Арт17	7	05.12.2017
Клиент-163	Арт21	2	05.07.2017
Клиент-159	Арт25	7	11.01.2017
Клиент-191	Арт11	9	04.03.2017
Клиент-72	Арт21	10	01.12.2017
Клиент-97	Арт15	3	16.05.2018
Клиент-13	Арт11	8	20.02.2018
Клиент-32	Арт25	9	14.02.2018
Клиент-23	Арт21	7	11.11.2017
Клиент-90	Арт12	8	08.09.2018
Клиент-197	Арт13	7	20.07.2018
Клиент-157	Арт11	9	22.04.2017
Клиент-56	Арт15	8	14.01.2018
Клиент-16	Арт12	2	30.01.2017
Клиент-126	Арт14	7	27.02.2017
Клиент-173	Арт7	1	29.01.2018
Клиент-128	Арт8	8	21.06.2018
Клиент-16	Арт2	3	16.07.2017
Клиент-196	Арт26	7	05.07.2017
Клиент-136	Арт8	10	02.03.2018
Клиент-57	Арт7	8	28.06.2018
Клиент-35	Арт19	7	29.09.2018
Клиент-27	Арт15	10	22.10.2017
Клиент-64	Арт8	6	24.03.2017
Клиент-74	Арт4	2	25.09.2018
Клиент-55	Арт1	4	21.01.2018
Клиент-9	Арт1	9	04.08.2017
Клиент-139	Арт15	9	19.04.2017
Клиент-158	Арт22	5	16.11.2017
Клиент-7	Арт18	2	27.10.2017
Клиент-74	Арт3	6	18.06.2018
Клиент-59	Арт26	3	27.06.2018
Клиент-116	Арт24	2	19.09.2017
Клиент-3	Арт20	10	25.07.2018
Клиент-37	Арт5	4	22.01.2017
Клиент-28	Арт26	8	05.11.2017
Клиент-163	Арт25	8	20.03.2017
Клиент-72	Арт5	2	14.05.2018
Клиент-19	Арт11	2	23.02.2018
Клиент-81	Арт14	8	24.11.2017
Клиент-133	Арт5	2	08.06.2017
Клиент-177	Арт4	8	06.01.2017
Клиент-11	Арт15	2	03.02.2017
Клиент-98	Арт17	6	17.06.2018
Клиент-44	Арт7	7	06.03.2017
Клиент-60	Арт21	7	16.04.2018
Клиент-82	Арт11	10	27.03.2018
Клиент-149	Арт10	5	24.08.2017
Клиент-47	Арт3	7	31.03.2018
Клиент-182	Арт21	8	24.05.2018
Клиент-111	Арт3	10	03.01.2018
Клиент-162	Арт19	3	12.05.2018
Клиент-196	Арт11	3	25.01.2018
Клиент-78	Арт16	5	31.05.2017
Клиент-85	Арт4	2	25.07.2017
Клиент-160	Арт25	6	27.09.2018
Клиент-133	Арт4	2	22.12.2017
Клиент-200	Арт22	5	26.04.2017
Клиент-39	Арт8	1	01.04.2017
Клиент-16	Арт24	5	06.07.2018
Клиент-77	Арт5	8	28.07.2018
Клиент-75	Арт22	9	12.09.2018
Клиент-80	Арт13	4	10.07.2018
Клиент-174	Арт17	10	16.04.2018
Клиент-33	Арт9	4	01.06.2018
Клиент-72	Арт15	7	17.07.2018
Клиент-198	Арт1	8	02.05.2017
Клиент-167	Арт23	10	24.02.2017
Клиент-187	Арт25	2	24.07.2017
Клиент-86	Арт23	5	25.10.2017
Клиент-76	Арт26	7	12.09.2017
Клиент-178	Арт24	3	16.02.2017
Клиент-141	Арт16	1	28.04.2017
Клиент-38	Арт4	3	01.12.2017
Клиент-84	Арт17	2	17.08.2017
Клиент-13	Арт11	3	27.08.2017
Клиент-159	Арт14	5	23.08.2018
Клиент-140	Арт4	2	26.05.2017
Клиент-20	Арт6	6	04.06.2018
Клиент-64	Арт19	5	14.02.2018
Клиент-105	Арт26	10	07.02.2018
Клиент-143	Арт7	3	02.09.2017
Клиент-106	Арт23	5	01.01.2017
Клиент-115	Арт7	3	13.02.2018
Клиент-33	Арт26	6	20.11.2017
Клиент-52	Арт7	1	07.04.2018
Клиент-181	Арт22	7	08.08.2017
Клиент-122	Арт23	4	07.08.2017
Клиент-89	Арт13	8	15.05.2017
Клиент-99	Арт15	5	05.01.2018
Клиент-5	Арт17	5	23.07.2017
Клиент-102	Арт5	8	11.02.2017
Клиент-176	Арт21	5	28.01.2017
Клиент-179	Арт5	8	05.01.2018
Клиент-89	Арт9	5	08.06.2017
Клиент-11	Арт7	6	18.11.2017
Клиент-49	Арт25	10	31.05.2017
Клиент-85	Арт22	7	06.04.2017
Клиент-95	Арт13	4	05.03.2018
Клиент-77	Арт10	3	26.07.2018
Клиент-189	Арт15	3	08.08.2017
Клиент-71	Арт1	10	10.04.2017
Клиент-66	Арт8	4	12.02.2017
Клиент-137	Арт24	4	27.10.2017
Клиент-7	Арт18	5	23.12.2017
Клиент-11	Арт19	6	23.08.2017
Клиент-182	Арт15	6	05.03.2017
Клиент-126	Арт1	7	11.07.2017
Клиент-22	Арт24	8	03.05.2017
Клиент-85	Арт2	3	12.07.2018
Клиент-44	Арт11	3	13.01.2017
Клиент-150	Арт12	8	21.06.2018
Клиент-58	Арт8	8	05.09.2018
Клиент-26	Арт10	9	30.08.2018
Клиент-10	Арт19	6	28.10.2017
Клиент-168	Арт14	5	31.10.2017
Клиент-10	Арт8	6	25.03.2017
Клиент-67	Арт14	7	02.11.2017
Клиент-114	Арт15	9	13.12.2017
Клиент-153	Арт17	2	14.05.2018
Клиент-130	Арт16	10	23.05.2018
Клиент-168	Арт5	10	02.01.2018
Клиент-94	Арт7	6	19.07.2017
Клиент-115	Арт18	5	15.08.2017
Клиент-74	Арт20	1	11.01.2017
Клиент-45	Арт8	1	02.03.2017
Клиент-75	Арт6	7	12.03.2018
Клиент-85	Арт7	4	17.12.2017
Клиент-152	Арт1	1	03.05.2017
Клиент-15	Арт5	6	24.04.2018
Клиент-70	Арт14	3	29.05.2017
Клиент-18	Арт6	3	06.02.2017
Клиент-27	Арт5	1	04.03.2017
Клиент-169	Арт14	7	17.02.2017
Клиент-194	Арт2	2	10.08.2017
Клиент-162	Арт21	4	28.09.2017
Клиент-142	Арт13	9	14.01.2018
Клиент-56	Арт17	7	29.05.2018
Клиент-39	Арт20	8	31.03.2018
Клиент-96	Арт16	8	23.07.2017
Клиент-64	Арт19	2	22.09.2017
Клиент-102	Арт20	3	12.06.2018
Клиент-85	Арт25	10	10.10.2017
Клиент-93	Арт16	9	18.06.2017
Клиент-146	Арт14	8	06.07.2017
Клиент-147	Арт16	1	23.04.2017
Клиент-130	Арт2	3	18.04.2017
Клиент-65	Арт18	3	04.01.2018
Клиент-27	Арт15	1	08.02.2017
Клиент-149	Арт9	7	28.03.2017
Клиент-180	Арт16	8	23.09.2017
Клиент-55	Арт25	2	16.09.2017
Клиент-106	Арт15	4	09.02.2017
Клиент-92	Арт6	7	28.08.2018
Клиент-97	Арт10	2	13.02.2017
Клиент-132	Арт4	2	14.02.2018
Клиент-50	Арт6	3	28.09.2018
Клиент-126	Арт18	4	24.05.2017
Клиент-72	Арт9	6	30.08.2017
Клиент-4	Арт12	6	14.04.2017
Клиент-83	Арт5	7	09.03.2017
Клиент-181	Арт25	1	08.05.2018
Клиент-31	Арт2	8	07.01.2017
Клиент-17	Арт20	5	17.07.2017
Клиент-130	Арт17	1	16.12.2017
Клиент-167	Арт17	2	29.05.2018
Клиент-181	Арт23	9	27.01.2017
Клиент-95	Арт13	8	30.09.2018
Клиент-196	Арт17	10	13.06.2018
Клиент-42	Арт26	4	19.11.2017
Клиент-72	Арт18	8	16.07.2018
Клиент-108	Арт12	4	03.10.2017
Клиент-42	Арт14	1	09.02.2017
Клиент-139	Арт26	3	11.11.2017
Клиент-103	Арт26	1	22.05.2018
Клиент-57	Арт2	10	31.12.2017
Клиент-7	Арт2	3	12.06.2018
Клиент-37	Арт6	5	04.06.2018
Клиент-154	Арт19	4	11.09.2018
Клиент-180	Арт2	5	19.05.2017
Клиент-8	Арт5	4	11.06.2017
Клиент-89	Арт12	7	30.07.2018
Клиент-4	Арт10	9	17.02.2018
Клиент-129	Арт4	9	28.06.2018
Клиент-170	Арт6	5	11.07.2018
Клиент-21	Арт6	2	14.08.2018
Клиент-38	Арт22	3	22.06.2017
Клиент-142	Арт11	5	06.10.2017
Клиент-42	Арт20	7	23.02.2017
Клиент-2	Арт6	7	06.04.2018
Клиент-98	Арт16	10	14.02.2017
Клиент-102	Арт6	3	27.06.2017
Клиент-117	Арт5	4	03.07.2017
Клиент-144	Арт7	3	22.06.2018
Клиент-101	Арт8	5	07.05.2017
Клиент-117	Арт22	2	26.07.2018
Клиент-163	Арт23	1	05.02.2017
Клиент-164	Арт6	7	23.09.2018
Клиент-199	Арт23	2	16.07.2017
Клиент-143	Арт16	7	18.08.2017
Клиент-11	Арт1	5	21.03.2017
Клиент-117	Арт6	1	10.11.2017
Клиент-136	Арт18	2	14.06.2018
Клиент-140	Арт25	4	13.10.2017
Клиент-196	Арт9	3	19.04.2018
Клиент-142	Арт8	2	23.01.2017
Клиент-141	Арт22	7	24.10.2017
Клиент-63	Арт19	6	02.03.2017
Клиент-19	Арт4	5	21.01.2018
Клиент-112	Арт13	9	17.05.2018
Клиент-155	Арт6	6	17.01.2017
Клиент-199	Арт4	3	12.05.2018
Клиент-122	Арт1	3	20.06.2018
Клиент-23	Арт11	1	13.06.2018
Клиент-70	Арт21	8	05.10.2017
Клиент-28	Арт4	1	02.08.2018
Клиент-153	Арт6	4	30.07.2017
Клиент-17	Арт8	3	17.07.2017
Клиент-71	Арт7	9	11.09.2018
Клиент-35	Арт13	3	02.01.2018
Клиент-67	Арт2	7	29.01.2018
Клиент-49	Арт16	9	08.04.2017
Клиент-129	Арт10	4	28.12.2017
Клиент-48	Арт7	5	06.09.2017
Клиент-133	Арт1	3	02.03.2017
Клиент-6	Арт14	2	06.11.2017
Клиент-127	Арт24	10	31.05.2018
Клиент-55	Арт13	8	26.02.2018
Клиент-35	Арт22	10	17.11.2017
Клиент-191	Арт1	4	11.03.2018
Клиент-30	Арт19	7	03.07.2017
Клиент-139	Арт18	7	31.08.2018
Клиент-64	Арт10	2	13.06.2018
Клиент-191	Арт3	6	14.01.2018
Клиент-67	Арт2	6	21.03.2017
Клиент-13	Арт19	7	30.04.2017
Клиент-199	Арт16	4	14.12.2017
Клиент-32	Арт2	9	29.05.2018
Клиент-44	Арт18	8	09.08.2017
Клиент-176	Арт13	6	01.03.2018
Клиент-20	Арт17	6	09.08.2018
Клиент-96	Арт11	9	10.05.2018
Клиент-21	Арт10	6	29.03.2018
Клиент-197	Арт8	4	04.08.2017
Клиент-5	Арт3	5	13.02.2018
Клиент-77	Арт20	4	25.12.2017
Клиент-75	Арт1	6	17.09.2018
Клиент-71	Арт16	8	07.01.2018
Клиент-33	Арт14	6	09.12.2017
Клиент-164	Арт12	3	01.05.2017
Клиент-94	Арт17	10	09.04.2017
Клиент-107	Арт7	10	15.08.2018
Клиент-46	Арт12	6	05.04.2017
Клиент-161	Арт13	1	29.12.2017
Клиент-63	Арт6	8	18.12.2017
Клиент-32	Арт5	1	13.03.2017
Клиент-153	Арт25	6	23.02.2017
Клиент-172	Арт3	7	02.07.2018
Клиент-129	Арт3	9	09.09.2017
Клиент-135	Арт8	10	13.06.2017
Клиент-157	Арт18	5	02.02.2018
Клиент-123	Арт18	10	20.09.2018
Клиент-84	Арт1	4	01.04.2018
Клиент-47	Арт12	7	31.12.2017
Клиент-171	Арт15	4	13.04.2017
Клиент-61	Арт22	7	09.12.2017
Клиент-152	Арт22	2	28.06.2018
Клиент-118	Арт11	2	03.05.2017
Клиент-199	Арт5	7	14.05.2018
Клиент-125	Арт19	9	16.02.2018
Клиент-64	Арт23	1	29.04.2018
Клиент-115	Арт16	2	13.06.2018
Клиент-137	Арт13	1	20.03.2017
Клиент-175	Арт5	6	15.07.2017
Клиент-151	Арт20	8	04.01.2017
Клиент-50	Арт7	10	05.12.2017
Клиент-154	Арт23	7	19.05.2018
Клиент-169	Арт26	6	11.03.2018
Клиент-30	Арт19	5	14.08.2017
Клиент-2	Арт18	9	10.09.2018
Клиент-130	Арт14	3	16.07.2018
Клиент-23	Арт1	1	08.09.2018
Клиент-67	Арт6	7	23.10.2017
Клиент-44	Арт19	7	13.06.2018
Клиент-52	Арт13	2	21.05.2018
Клиент-49	Арт13	3	02.05.2017
Клиент-47	Арт2	7	21.02.2018
Клиент-109	Арт14	5	15.08.2018
Клиент-20	Арт20	5	14.08.2017
Клиент-169	Арт14	3	14.02.2018
Клиент-76	Арт2	7	30.07.2018
Клиент-67	Арт4	3	08.01.2017
Клиент-121	Арт12	10	29.01.2018
Клиент-112	Арт8	5	04.01.2018
Клиент-143	Арт16	8	30.08.2018
Клиент-144	Арт13	10	27.01.2018
Клиент-26	Арт16	8	14.04.2017
Клиент-12	Арт14	10	07.04.2018
Клиент-193	Арт25	4	03.03.2017
Клиент-85	Арт6	6	02.07.2017
Клиент-135	Арт20	10	19.10.2017
Клиент-92	Арт11	10	13.01.2017
Клиент-97	Арт25	3	27.07.2018
Клиент-30	Арт22	10	03.02.2017
Клиент-89	Арт20	3	09.07.2018
Клиент-172	Арт14	2	20.08.2018
Клиент-125	Арт18	5	12.09.2017
Клиент-164	Арт8	1	04.04.2018
Клиент-195	Арт18	10	04.06.2018
Клиент-29	Арт26	2	30.06.2018
Клиент-74	Арт6	7	27.05.2018
Клиент-4	Арт5	3	29.01.2018
Клиент-179	Арт16	2	10.03.2017
Клиент-196	Арт18	5	12.06.2018
Клиент-165	Арт12	7	15.05.2017
Клиент-110	Арт17	4	12.06.2017
Клиент-104	Арт1	1	11.01.2018
Клиент-97	Арт9	1	05.12.2017
Клиент-33	Арт20	7	23.07.2018
Клиент-136	Арт24	3	22.03.2017
Клиент-132	Арт10	2	14.07.2018
Клиент-183	Арт2	3	19.02.2018
Клиент-2	Арт14	8	28.04.2018
Клиент-69	Арт23	10	21.10.2017
Клиент-191	Арт23	4	26.08.2018
Клиент-155	Арт22	5	06.07.2018
Клиент-101	Арт13	5	24.09.2018
Клиент-110	Арт22	2	14.03.2017
Клиент-55	Арт12	3	16.09.2017
Клиент-58	Арт24	9	01.10.2017
Клиент-76	Арт14	7	07.04.2018
Клиент-75	Арт15	2	07.05.2017
Клиент-34	Арт1	2	09.05.2017
Клиент-123	Арт17	10	14.05.2018
Клиент-12	Арт24	9	06.02.2018
Клиент-74	Арт6	1	01.01.2018
Клиент-196	Арт25	3	08.06.2018
Клиент-11	Арт14	4	04.04.2018
Клиент-55	Арт25	2	10.01.2018
Клиент-103	Арт20	6	13.09.2017
Клиент-137	Арт1	6	19.11.2017
Клиент-198	Арт1	4	17.03.2017
Клиент-197	Арт8	7	26.02.2017
Клиент-117	Арт7	9	06.09.2017
Клиент-135	Арт3	4	09.08.2017
Клиент-98	Арт7	5	21.07.2018
Клиент-10	Арт23	4	27.03.2018
Клиент-88	Арт10	1	29.08.2017
Клиент-17	Арт4	5	16.02.2017
Клиент-193	Арт8	10	21.07.2018
Клиент-141	Арт7	6	11.11.2017
Клиент-46	Арт4	9	21.10.2017
Клиент-114	Арт21	1	06.03.2017
Клиент-118	Арт17	6	28.08.2018
Клиент-80	Арт25	5	24.06.2018
Клиент-162	Арт8	7	05.09.2017
Клиент-49	Арт1	3	16.02.2018
Клиент-52	Арт21	8	03.11.2017
Клиент-64	Арт3	3	18.11.2017
Клиент-87	Арт5	4	24.07.2018
Клиент-164	Арт12	1	04.12.2017
Клиент-125	Арт17	4	21.04.2018
Клиент-111	Арт13	4	02.05.2017
Клиент-158	Арт23	10	10.12.2017
Клиент-5	Арт10	8	24.05.2018
Клиент-148	Арт6	6	14.08.2017
Клиент-23	Арт11	6	15.09.2018
Клиент-12	Арт17	10	25.09.2017
Клиент-57	Арт25	1	04.01.2018
Клиент-29	Арт23	5	30.06.2017
Клиент-94	Арт19	4	29.06.2017
Клиент-172	Арт2	10	28.11.2017
Клиент-163	Арт16	1	22.02.2017
Клиент-34	Арт26	7	02.06.2018
Клиент-168	Арт20	2	14.06.2018
Клиент-55	Арт16	7	06.03.2017
Клиент-7	Арт16	5	11.08.2017
Клиент-14	Арт24	4	31.03.2017
Клиент-22	Арт7	1	11.02.2017
Клиент-187	Арт25	7	21.05.2017
Клиент-29	Арт1	2	30.10.2017
Клиент-33	Арт23	6	17.08.2017
Клиент-45	Арт16	9	02.01.2017
Клиент-157	Арт3	6	21.06.2018
Клиент-156	Арт16	7	10.09.2018
Клиент-28	Арт16	6	18.09.2017
Клиент-101	Арт12	6	14.05.2018
Клиент-193	Арт16	10	24.11.2017
Клиент-173	Арт23	6	24.07.2018
Клиент-196	Арт21	7	27.01.2018
Клиент-142	Арт23	1	22.05.2018
Клиент-117	Арт13	9	10.02.2018
Клиент-197	Арт18	10	21.06.2018
Клиент-89	Арт21	3	07.10.2017
Клиент-96	Арт25	3	01.05.2018
Клиент-179	Арт6	6	22.02.2018
Клиент-193	Арт4	3	22.02.2018
Клиент-40	Арт15	3	22.05.2018
Клиент-198	Арт10	3	27.01.2017
Клиент-103	Арт5	6	07.04.2017
Клиент-130	Арт1	8	12.08.2018
Клиент-146	Арт15	8	15.01.2018
Клиент-163	Арт1	5	26.09.2017
Клиент-49	Арт8	9	03.01.2018
Клиент-24	Арт7	3	02.01.2017
Клиент-6	Арт19	2	13.01.2018
Клиент-191	Арт2	10	08.03.2017
Клиент-59	Арт1	4	22.09.2018
Клиент-164	Арт2	10	14.07.2018
Клиент-174	Арт13	2	23.07.2018
Клиент-3	Арт5	1	29.04.2017
Клиент-167	Арт15	3	07.09.2017
Клиент-69	Арт17	3	18.03.2017
Клиент-175	Арт18	4	02.09.2018
Клиент-112	Арт23	2	17.01.2018
Клиент-46	Арт2	2	13.04.2018
Клиент-114	Арт26	9	11.05.2018
Клиент-186	Арт13	1	17.03.2017
Клиент-85	Арт13	5	26.02.2018
Клиент-135	Арт14	8	06.06.2018
Клиент-165	Арт7	2	08.08.2017
Клиент-3	Арт3	5	09.01.2018
Клиент-128	Арт7	3	25.03.2017
Клиент-193	Арт7	7	10.03.2017
Клиент-140	Арт8	3	28.03.2018
Клиент-57	Арт24	9	09.04.2017
Клиент-160	Арт15	9	05.08.2018
Клиент-71	Арт11	10	09.05.2017
Клиент-43	Арт23	1	25.09.2017
Клиент-180	Арт19	2	06.12.2017
Клиент-190	Арт8	9	12.04.2018
Клиент-48	Арт22	7	30.05.2017
Клиент-102	Арт21	2	11.03.2017
Клиент-7	Арт14	2	15.01.2017
Клиент-116	Арт12	10	25.08.2018
Клиент-179	Арт20	10	19.11.2017
Клиент-87	Арт25	7	26.01.2017
Клиент-178	Арт2	2	20.11.2017
Клиент-43	Арт7	5	15.10.2017
Клиент-90	Арт1	4	07.08.2018
Клиент-67	Арт26	2	25.01.2017
Клиент-51	Арт20	2	15.05.2018
Клиент-187	Арт8	1	23.06.2018
Клиент-123	Арт19	5	17.02.2018
Клиент-177	Арт7	8	11.07.2017
Клиент-104	Арт15	5	01.05.2018
Клиент-175	Арт13	4	20.08.2018
Клиент-176	Арт2	5	14.06.2017
Клиент-18	Арт7	9	05.07.2017
Клиент-141	Арт10	9	29.08.2018
Клиент-96	Арт3	10	31.10.2017
Клиент-128	Арт15	9	29.08.2017
Клиент-46	Арт10	8	01.02.2018
Клиент-170	Арт1	9	20.09.2018
Клиент-29	Арт13	2	18.05.2017
Клиент-7	Арт24	7	04.06.2017
Клиент-160	Арт17	10	04.12.2017
Клиент-190	Арт9	8	20.08.2017
Клиент-198	Арт23	4	17.07.2018
Клиент-24	Арт15	1	22.01.2018
Клиент-22	Арт6	4	16.03.2017
Клиент-56	Арт2	4	19.04.2017
Клиент-95	Арт1	3	25.01.2018
Клиент-200	Арт20	3	05.02.2017
Клиент-116	Арт4	6	28.03.2018
Клиент-158	Арт19	5	23.07.2017
Клиент-96	Арт22	10	24.09.2018
Клиент-25	Арт21	3	01.09.2017
Клиент-137	Арт4	8	28.04.2018
Клиент-173	Арт12	10	06.02.2017
Клиент-166	Арт14	2	02.02.2017
Клиент-71	Арт10	10	21.01.2018
Клиент-130	Арт17	3	11.06.2017
Клиент-124	Арт16	8	01.05.2017
Клиент-178	Арт17	2	03.05.2018
Клиент-94	Арт25	6	11.07.2018
Клиент-83	Арт17	2	12.07.2017
Клиент-27	Арт17	2	09.11.2017
Клиент-70	Арт22	8	14.07.2018
Клиент-32	Арт14	9	24.07.2018
Клиент-39	Арт19	5	10.02.2017
Клиент-91	Арт8	5	03.03.2017
Клиент-194	Арт18	4	18.04.2018
Клиент-114	Арт11	7	23.03.2017
Клиент-61	Арт16	10	22.09.2018
Клиент-199	Арт10	6	08.02.2017
Клиент-84	Арт6	7	17.01.2018
Клиент-13	Арт3	1	26.05.2018
Клиент-147	Арт7	4	11.09.2017
Клиент-111	Арт17	3	22.04.2018
Клиент-159	Арт20	6	06.01.2018
Клиент-137	Арт24	9	25.06.2017
Клиент-67	Арт20	3	21.06.2018
Клиент-119	Арт1	1	25.06.2017
Клиент-84	Арт11	1	29.12.2017
Клиент-161	Арт22	3	19.01.2018
Клиент-163	Арт13	5	04.02.2018
Клиент-133	Арт12	10	08.05.2017
Клиент-20	Арт22	6	16.05.2018
Клиент-196	Арт6	8	21.06.2017
Клиент-27	Арт20	9	14.06.2017
Клиент-165	Арт22	1	25.09.2018
Клиент-41	Арт5	10	18.09.2018
Клиент-42	Арт23	6	12.10.2017
Клиент-149	Арт6	10	31.03.2017
Клиент-25	Арт12	8	26.01.2017
Клиент-144	Арт14	7	15.03.2017
Клиент-169	Арт22	8	25.02.2018
Клиент-18	Арт19	2	30.07.2018
Клиент-79	Арт24	1	19.02.2017
Клиент-195	Арт23	7	29.12.2017
Клиент-58	Арт8	2	23.12.2017
Клиент-112	Арт12	10	05.06.2018
Клиент-102	Арт16	9	24.05.2018
Клиент-137	Арт21	5	13.06.2018
Клиент-109	Арт21	8	10.03.2018
Клиент-55	Арт8	7	22.07.2017
Клиент-105	Арт11	1	28.10.2017
Клиент-193	Арт13	7	01.03.2018
Клиент-74	Арт25	3	01.05.2018
Клиент-194	Арт4	10	10.11.2017
Клиент-200	Арт17	6	20.01.2018
Клиент-152	Арт20	2	29.12.2017
Клиент-19	Арт14	1	31.07.2018
Клиент-14	Арт4	8	01.08.2017
Клиент-195	Арт2	6	09.08.2018
Клиент-181	Арт14	7	01.05.2018
Клиент-85	Арт25	3	17.07.2018
Клиент-169	Арт7	6	26.07.2017
Клиент-160	Арт17	8	11.12.2017
Клиент-133	Арт8	4	01.11.2017
Клиент-148	Арт22	9	05.06.2018
Клиент-67	Арт11	3	21.03.2017
Клиент-115	Арт10	7	15.04.2018
Клиент-135	Арт1	5	07.07.2017
Клиент-31	Арт8	5	04.06.2018
Клиент-25	Арт12	10	19.05.2017
Клиент-142	Арт22	8	25.08.2017
Клиент-90	Арт11	6	13.02.2018
Клиент-26	Арт5	8	11.02.2018
Клиент-190	Арт23	4	08.03.2017
Клиент-27	Арт10	8	10.07.2017
Клиент-186	Арт19	1	09.07.2017
Клиент-30	Арт21	1	09.12.2017
Клиент-26	Арт18	7	22.02.2018
Клиент-9	Арт3	9	27.05.2017
Клиент-97	Арт19	5	14.01.2018
Клиент-35	Арт15	1	21.05.2017
Клиент-147	Арт2	7	19.02.2018
Клиент-20	Арт13	7	02.06.2018
Клиент-160	Арт15	4	07.06.2017
Клиент-104	Арт8	1	11.02.2018
Клиент-156	Арт19	5	03.05.2018
Клиент-176	Арт20	4	02.02.2018
Клиент-32	Арт11	9	26.09.2017
Клиент-66	Арт24	5	09.12.2017
Клиент-149	Арт16	2	28.01.2017
Клиент-112	Арт8	7	10.01.2017
Клиент-63	Арт21	1	20.01.2017
Клиент-79	Арт14	1	14.09.2018
Клиент-146	Арт17	9	06.05.2017
Клиент-14	Арт19	3	25.03.2017
Клиент-145	Арт15	4	26.03.2018
Клиент-145	Арт1	8	23.05.2018
Клиент-132	Арт11	10	16.03.2017
Клиент-195	Арт21	8	11.08.2017
Клиент-51	Арт2	2	22.03.2018
Клиент-180	Арт22	7	30.07.2018
Клиент-188	Арт11	1	22.04.2018
Клиент-55	Арт2	10	13.09.2017
Клиент-35	Арт8	1	09.11.2017
Клиент-83	Арт16	5	26.10.2017
Клиент-141	Арт18	6	19.08.2017
Клиент-161	Арт15	2	16.02.2018
Клиент-2	Арт8	10	13.08.2017
Клиент-10	Арт20	5	28.07.2017
Клиент-88	Арт3	8	28.07.2017
Клиент-150	Арт21	7	17.10.2017
Клиент-193	Арт20	10	25.01.2017
Клиент-105	Арт19	1	11.09.2017
Клиент-114	Арт7	8	20.06.2017
Клиент-135	Арт4	3	25.07.2017
Клиент-171	Арт16	2	01.07.2018
Клиент-18	Арт18	7	16.07.2017
Клиент-38	Арт24	1	24.02.2018
Клиент-108	Арт10	7	11.07.2017
Клиент-28	Арт15	9	22.05.2017
Клиент-15	Арт15	1	13.09.2018
Клиент-139	Арт6	3	28.09.2017
Клиент-65	Арт9	1	30.07.2017
Клиент-82	Арт18	9	19.12.2017
Клиент-77	Арт12	3	14.10.2017
